NO,RecipeID_eng,RecipeName,Difficulty,Description (특징),KeyCombination,BPM,BasePrice,Tags,Category,RequiredIngredientsVisual,CompletedVisualResourceID,OpenOption 해금 조건,IconImage,prefab
200001,gin_tonic,진토닉 ,1,"""칵테일의 기본 중의 기본! 상큼한 라임 향이 더해져 깔끔하고 청량한 맛이 일품이에요.""","['z', 's', 'd', 'a', '_', '_', '_', '_']",120,"6,500","['청량한', '기본적인', '라임향', '깔끔한맛']",클래식 칵테일,"진 병, 토닉워터 병, 라임 조각 아이콘","""투명한 하이볼 글라스에 얼음과 투명한 액체, 라임 슬라이스 장식""",스테이지 1 이상,200001_Image.sprite,200001_prefab
200003,jack_and_coke,잭콕 ,1,"""잭 다니엘 위스키와 콜라의 만남! 누구나 좋아하는 익숙하면서도 매력적인 맛이죠.""","['s', 'z', 'w', 's', '_', '_', '_', '_']",120,"7,000","['익숙한맛', '콜라', '위스키베이스', '달콤한']",위스키 기반 칵테일,"잭 다니엘 병 아이콘, 콜라 병 아이콘","""하이볼 글라스에 얼음과 갈색 액체""",스테이지 1 이상,200001_Image.sprite,200001_prefab
200006,tequila_sunrise,데킬라 선라이즈 ,1,"""이름처럼 아름다운 해돋이를 연상시키는 색감! 달콤하면서도 데킬라의 풍미가 느껴져요.""","['z', 'a', 'd', 'w', '_', '_', '_', '_']",120,"9,000","['아름다운', '달콤한', '과일맛', '데킬라베이스']",데킬라 기반 칵테일,"데킬라 병, 오렌지 주스 팩, 석류 시럽 병 아이콘","""하이볼 글라스에 아래는 붉은색, 위는 주황색으로 층이 진 칵테일""",스테이지 4 이상,200006_Image.sprite,200006_prefab
200009,somaek,소맥 ,2,"""한국인의 회식 자리에서 빠질 수 없는 황금비율 폭탄주! 소주와 맥주의 완벽한 조화.""","['a', 'd', '_', 's', 'z', 'w', '_', 'w']",150,"7,000","['한국스타일', '폭탄주', '회식용', '인기조합']",K-Mix,"소주병 아이콘, 맥주병/캔 아이콘, 맥주잔 아이콘","""맥주잔에 소주와 맥주가 섞인 모습, (거품 표현)""",스테이지 2 이상,200009_Image.sprite,200009_prefab
200010,mojito,모히또 ,2,"""민트와 라임이 듬뿍 들어가 상쾌함이 폭발하는 칵테일! 청량함의 끝판왕이죠.""","['z', '_', 's', 'd', 'w', 'a', '_', 'z']",150,"11,500","['청량한', '민트', '라임', '상쾌한', '인기있는']",럼 기반 칵테일,"럼 병, 민트 잎 아이콘, 라임 조각, 탄산수 병","""하이볼 글라스에 민트 잎과 라임이 가득, 으깬 얼음""",상점 구매,200010_Image.sprite,200010_prefab
200011,blue_hawaiian,블루 하와이안 ,2,"""파인애플과 코코넛 향, 그리고 푸른 바다색이 매력적인 열대 칵테일.""","['w', 's', 'w', 'z', '_', 'a', 'd', '_']",150,"12,000","['열대과일맛', '파란색', '코코넛', '럼베이스']",럼 기반 칵테일,"라이트럼, 블루큐라소, 코코넛럼(또는크림), 파인애플주스","""허리케인 글라스에 파란색 액체, 파인애플과 체리 장식""",상점 구매,200011_Image.sprite,200011_prefab
200012,sex_on_the_beach,섹스 온 더 비치 ,2,"""이름만큼이나 매혹적인 맛! 복숭아, 오렌지, 크랜베리의 달콤한 조화.""","['z', 'a', 's', '_', 'w', 'z', '_', 'd']",150,"10,000","['달콤한', '과일맛풍부', '복숭아', '보드카베이스']",보드카 기반 칵테일,"보드카, 피치 리큐르, 크랜베리 주스, 오렌지 주스","""하이볼 글라스에 붉은색과 주황색이 층을 이룬 듯한 모습""",상점 구매,200012_Image.sprite,200012_prefab
200015,margarita,마가리타 ,3,"""잔 테두리의 소금과 함께 즐기는 짜릿한 맛! 데킬라의 풍미를 제대로 느낄 수 있어요.""","['z', 'a', 'w', 's', 'z', 'd', 'w', 'a']",180,"14,000","['짜릿한맛', '데킬라베이스', '라임', '소금']",데킬라 기반 칵테일,"데킬라 병, 트리플섹 병, 라임 주스 병, 소금 아이콘","""마가리타 글라스 테두리에 소금이 묻어있고, 라임색 액체""",상점 구매,200015_Image.sprite,200015_prefab
200017,cosmopolitan,코스모폴리탄 ,3,"""세련된 도시 여성들이 사랑한 칵테일! 크랜베리의 상큼함과 보드카의 조화.""","['z', 'd', 'a', 'w', 'z', 's', 'a', 'w']",180,"13,500","['세련된', '상큼한', '크랜베리', '보드카베이스', '꽤독함']",보드카 기반 칵테일,"보드카(레몬), 트리플섹, 라임주스, 크랜베리주스","""마티니 글라스에 핑크빛 액체, 라임 트위스트 또는 체리 장식""",스테이지 7 이상,200017_Image.sprite,200017_prefab
200019,gojingamrae,고진감래 ,3,"""쓸쓸한 시작, 달콤한 마무리! 콜라, 소주, 맥주를 순서대로 마시는 재미있는 의식주. 인생의 맛!""","['z', 'a', 's', 'd', 'w', 'z', 'a', 's']",180,"12,500","['한국스타일', '폭탄주', '의식주', '재미있는', '인생의맛']",K-Mix,"콜라캔, 소주병, 맥주병, 빈 맥주잔 2개, 빈 소주잔 1개 아이콘","""맥주잔 안에 소주잔, 그 안에 콜라. 다른 잔엔 맥주.""",스테이지 8 이상,200019_Image.sprite,200019_prefab
